H_Stride Length,H_Toe Height,H_Stride Duration,H_Swingphase Duration,H_Stancephase Duration,F_Stride Length,F_Toe Height,F_Stride Duration,F_Swingphase Duration,F_Stancephase Duration
7.905,0.6063,1,0.2,0.8,2.604,0.54285,0.48,0.12,0.36
8.401,1.6497,0.9,0.22,0.68,6.262,1.07865,0.46,0.16,0.3
8.091,1.4946,1.14,0.2,0.94,2.573,1.33245,0.6,0.14,0.46
6.107,2.17845,0.58,0.1,0.48,1.581,0.90945,0.44,0.08,0.36
4.123,1.55805,0.64,0.1,0.54,5.332,0.81075,0.52,0.12,0.4
5.6454,0.60475,1.22,0.1,1.12,4.092,0.8037,0.5,0.08,0.42
5.7909,0.464625,0.96,0.16,0.8,3.41,0.79665,0.52,0.14,0.38
5.0634,1.77,1.12,0.18,0.94,4.154,1.02225,0.44,0.1,0.34
3.2883,1.121,1.24,0.14,1.1,2.945,1.269,0.82,0.06,0.76
2.5899,0.862875,0.68,0.12,0.56,5.487,0.7191,0.46,0.14,0.32
3.8703,2.559125,0.96,0.18,0.78,4.96,1.41705,0.82,0.14,0.68
7.6824,0.818625,1.28,0.18,1.1,4.712,1.33245,0.78,0.1,0.68
3.492,1.659375,1,0.14,0.86,1.767,0.7332,0.2,0.06,0.14
5.5581,0.656375,1.16,0.12,1.04,2.015,0.75435,0.92,0.18,0.74
2.9682,0.78175,0.94,0.24,0.7,4.371,0.85305,0.66,0.08,0.58
4.8015,1.0325,0.78,0.22,0.56,5.301,1.00815,0.7,0.1,0.6
3.0264,0.72275,0.82,0.28,0.54,3.72,0.564,0.38,0.14,0.24
5.6745,0.700625,1.28,0.14,1.14,2.418,0.86715,0.58,0.16,0.42
3.7248,0.803875,0.84,0.18,0.66,2.48,0.55695,0.58,0.06,0.52
5.2962,0.862875,0.56,0.34,0.22,3.255,0.58515,0.68,0.14,0.54
1.6587,1.012833333,0.16,0.08,0.08,4.96,0.9165,0.66,0.1,0.56
1.7169,1.674125,0.2,0.08,0.12,4.867,1.23375,0.54,0.1,0.44
4.0158,1.189833333,0.26,0.18,0.08,3.813,0.6486,0.64,0.06,0.58
4.7142,1.098875,0.24,0.14,0.1,5.363,1.09275,0.64,0.08,0.56
5.7618,0.774375,0.68,0.2,0.48,3.937,1.30425,0.56,0.08,0.48
2.1825,0.649,0.68,0.08,0.6,5.239,1.7202,0.64,0.08,0.56
4.278,1.4241,0.7625,0.1625,0.6,6.169,0.9588,0.925,0.1625,0.7625
6.014,1.6356,0.7375,0.2,0.5375,4.867,1.0152,0.725,0.125,0.6
4.464,0.78255,0.7,0.275,0.425,5.208,1.2408,0.7625,0.0875,0.675
5.673,1.37475,0.8625,0.1875,0.675,5.177,1.19145,0.625,0.0875,0.5375
3.317,1.45935,0.9875,0.1125,0.875,5.115,1.14915,0.725,0.125,0.6
5.022,1.50165,0.7625,0.1,0.6625,4.526,1.3113,0.75,0.075,0.675
4.495,1.41,1.125,0.075,1.05,5.704,1.0293,0.9125,0.175,0.7375
6.138,1.9176,0.85,0.225,0.625,4.185,1.72725,0.775,0.125,0.65
7.781,1.692,0.75,0.15,0.6,6.262,1.2126,0.925,0.125,0.8
5.921,1.5933,1.1,0.2375,0.8625,4.526,0.50055,0.5125,0.15,0.3625
6.293,1.17735,1.775,0.1,1.675,4.092,0.88125,0.8875,0.15,0.7375
7.223,1.3818,1.4,0.15,1.25,6.2,0.9588,1,0.1375,0.8625
5.518,1.00815,1.45,0.1125,1.3375,6.293,1.20555,0.7375,0.0875,0.65
5.642,1.14915,0.4125,0.1,0.3125,6.076,1.07865,0.7625,0.0875,0.675
5.177,1.67085,1.4,0.0875,1.3125,5.518,0.8601,0.7375,0.275,0.4625
7.998,0.7896,1.25,0.125,1.125,3.72,1.0152,1.3,0.15,1.15
5.952,1.69905,0.9,0.1875,0.7125,5.673,1.1844,0.8875,0.075,0.8125
6.293,1.41,1.25,0.1,1.15,6.634,1.2126,0.9,0.125,0.775
